npa_id,create_date,cycle_time_from_er_confirm,cycle_time_from_benefit_order,difot,created_day_of_week,created_month,created_year,days_before_effective_date,orders_last_week,has_run_payroll,sic_code,tax_payer_type,taxable_as_scorp,wc_status,state,count_work_states,days_after_joined_gusto,days_after_est_founding,count_policies,count_carriers,count_medical_carriers,medical_carrier,dental_carrier,has_composite_scheme,contains_long_tail_carrier,has_dental,has_vision,has_lidi,hsa_selected,has_fsa_dca,active_employees,eligible_employees,payroll_count,primary_payroll_admin_age,has_integrations,failed_filing_last_12_month,growth_rate_last_year,had_previous_payroll_provider,months_from_join_date,user_provided_industry,industry_classification,invoice_count,last_month_subscription_revenue,number_of_eins,multi_ein,count_address_changes_last_year,number_of_employees_logging_in_last_month,number_of_employee_logins_last_month,number_of_terminations_last_month,number_of_payroll_employees_last_month,estimated_annual_income_per_employee_last_month,has_active_workers_comp,running_total_number_of_benefits_care_cases,running_total_number_of_payroll_care_cases,running_total_number_of_cases,running_total_number_of_emails,running_total_number_of_irs_notice_reasons,amendments_last_12_month,number_of_admin_failed_logins,number_of_calls_last_month,number_of_chats_last_month,product_plan,time_to_onboard_in_days,time_to_first_payroll_in_days,prev_company_suspension,ee_average_age,count_ee_twenty_six_and_over_in_last_year,count_ee_under_twenty_six_in_last_year,count_single_employees_in_last_year,count_non_single_employees_in_last_year,count_ee_commuter_in_last_year,count_ee_home_states_in_last_year,count_ee_work_states_in_last_year,count_ee_work_home_state_diff_in_last_year,count_ee_more_than_1_job_in_last_year,count_ee_terminations_in_last_year,count_ee_touchpoints_in_last_year,count_ee_hires_in_last_year,count_401k_ees_in_last_year,count_529_ees_in_last_year,change_in_number_of_hires_last_month,change_in_number_of_termination_last_month,change_in_number_of_ee_logins_last_month,change_in_number_of_calls_last_month,change_in_number_of_admin_logins_last_month,change_in_estimated_annual_income_per_employee_last_month,selected_medical_base_tier,start_date_changed,deadline_override
49616,2020-11-13 06:02,52,48,1,2.0,12.0,2020.0,-55,261,1,7371,C-Corporation,0,has_zp_policy,NY,1,23,3,5,2,1,Empire Blue Cross and Blue Shield,Guardian,0,0,1,1,0,0,0,2,2,4,,0,0,0.0,0,-1,Technology,Desk,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,23,50,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,gold,0,1
42699,2020-10-06 17:13,35,35,1,2.0,11.0,2020.0,-52,159,1,5947,LLC,1,no_policy,MO,2,228,223,4,2,1,UnitedHealthcare,Guardian,0,0,1,0,0,0,0,24,6,21,22,0,0,0.0,0,6,Retail,POS,7,207.0,0,0,1,6,25,1,28,37642.2892,0,0,3,10,5,0,0,0,0,0,core,5,14,0,34.6466666666667,77,73,89,61,0,2,1,7,14,4,4,31,0,0,-1,0,-27,0,2,2216.2589,silver,0,0
56604,2021-03-25 20:09,28,27,1,3.0,3.0,2021.0,-31,114,1,7372,C-Corporation,0,quoting,TX,1,134,134,5,2,1,UnitedHealthcare,Guardian,0,0,1,1,0,0,0,4,4,18,34,1,0,0.0,0,4,Technology,Desk,4,49.0,0,0,3,4,14,0,4,100500.0,0,0,1,7,3,0,0,9,0,2,basic,0,14,0,37.5454545454545,11,0,2,9,0,0,1,0,0,0,0,4,0,0,3,0,12,0,43,4500.0,bronze,0,0
54088,2021-02-11 20:24,48,48,0,5.0,2.0,2021.0,-48,134,1,7372,C-Corporation,0,eligible_for_renewal,DC,6,28,1735,8,2,1,DC Health Link (Benefit Exchange Marketplace),Beam,0,0,2,1,0,0,0,18,18,11,,0,0,0.0,0,-1,Technology,Desk,0,0.0,0,0,11,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,42,59,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,gold,0,0
46071,2020-10-30 21:29,80,80,0,5.0,11.0,2020.0,-73,239,1,8351,Sole proprietor,0,has_zp_policy,CA,1,294,324,3,2,1,Blue Shield of California,Guardian,0,0,1,1,0,0,0,3,3,35,32,1,0,0.0,0,7,Healthcare   Social Assistance,Desk,8,57.0,0,0,1,1,1,0,3,45170.16,0,0,1,4,3,0,0,0,0,0,core,14,35,0,20.7916666666667,2,22,24,0,0,1,1,0,0,6,5,7,0,0,-2,0,0,0,4,19971.78,platinum,0,0
50754,2020-12-22 03:07,64,51,1,1.0,1.0,2021.0,-56,175,1,8111,LLC,1,has_zp_policy,VA,1,867,906,6,3,1,Anthem Blue Cross,Guardian,0,0,1,1,1,0,0,8,6,165,48,1,0,0.4,1,28,Government,Desk,29,123.0,0,0,1,5,61,0,6,91045.5666,1,0,8,20,16,0,1,0,0,0,complete,10,23,0,34.8627450980392,102,0,40,50,0,1,1,0,26,6,16,8,66,0,-1,0,24,0,-4,30325.0766,silver,0,1
50719,2020-10-01 06:01,29,29,1,2.0,1.0,2021.0,-41,124,1,6021,C-Corporation,0,has_zp_policy,TX,9,112,110,7,2,1,Blue Cross Blue Shield,Guardian,0,0,1,1,1,0,0,7,7,10,44,0,0,0.0,0,0,Technology,Desk,3,75.0,0,0,1,5,18,1,6,296293.68,0,0,4,7,0,0,0,3,6,0,core,13,16,0,38.0,2,0,1,1,0,0,2,0,0,0,0,2,0,0,0,1,8,6,10,226293.6,silver,0,0
47219,2020-11-11 20:26,35,32,1,4.0,11.0,2020.0,-43,239,1,7372,C-Corporation,0,quoting,TN,1,39,534,5,2,1,UnitedHealthcare,Guardian,0,0,1,1,0,0,0,3,3,0,,0,0,0.0,0,-2,Non-Profits   Associations,Desk,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,34,99,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,platinum,0,0
37282,2020-07-06 21:53,44,44,0,2.0,7.0,2020.0,-35,90,1,1731,LLC,0,eligible_for_renewal,CA,1,273,270,3,1,1,Covered California,no_dental_carrier,0,0,0,0,0,0,0,13,10,31,44,0,0,0.0,0,8,Construction,Non-Desk,8,0.0,0,0,1,6,120,0,10,83703.36,0,0,5,31,2,0,0,1,1,0,concierge,9,20,0,41.9222222222222,79,11,10,28,0,1,1,0,0,3,35,15,0,0,0,0,12,-1,-2,66022.528,silver,0,0
37303,2020-07-07 15:06,48,43,1,1.0,7.0,2020.0,-50,87,1,6794,C-Corporation,0,no_policy,MA,3,23,-5,6,3,1,Anthem Blue Cross,Guardian,0,0,1,1,1,0,0,4,4,3,,0,0,0.0,0,0,Manufacturing,Non-Desk,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,0,46,0,32.5,4,0,2,2,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0.0,silver,0,0
41267,2020-09-11 15:24,27,21,1,2.0,9.0,2020.0,-33,90,1,7379,LLC,1,has_zp_policy,CA,5,28,2,5,2,1,UnitedHealthcare,Guardian,0,0,1,1,0,0,0,2,2,3,,0,0,0.0,0,0,Entertainment   Recreation,Non-Desk,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,22,35,0,29.0,1,1,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0.0,silver,0,0
37903,2020-07-22 18:25,45,45,0,2.0,8.0,2020.0,-44,94,1,8049,S-Corporation,1,quoting,PA,1,400,399,3,2,1,Highmark Blue Cross Blue Shield,Guardian,0,0,1,1,0,0,0,10,3,32,38,0,0,0.0,0,11,Healthcare   Social Assistance,Desk,12,72.9,0,0,1,4,10,0,7,45690.8771,0,0,0,0,0,0,0,2,0,0,core,31,38,0,26.0,24,29,14,7,0,2,1,9,38,0,0,2,0,0,-1,0,-4,0,8,27680.8629,platinum,0,1
39307,2020-08-17 22:19,49,48,0,2.0,8.0,2020.0,-44,94,1,8021,LLC,0,no_policy,ID,1,859,11186,4,2,1,Regence,no_dental_carrier,0,0,0,1,0,1,0,13,6,74,49,0,0,0.3,0,21,Healthcare   Social Assistance,Desk,21,195.0,0,0,1,15,468,1,13,36118.7815,0,0,22,29,12,0,0,2,1,0,complete,181,208,0,34.4814814814815,340,92,80,76,0,1,1,0,360,12,64,16,0,0,0,1,-27,0,8,2347.1262,bronze,0,0
41530,2020-09-26 06:52,22,22,1,1.0,9.0,2020.0,-34,90,1,8093,LLC,1,no_policy,WA,1,370,393,1,1,1,Kaiser Permanente of WA,no_dental_carrier,0,0,0,0,0,0,0,8,2,69,51,0,0,0.0,1,11,Healthcare   Social Assistance,Desk,11,233.0,0,0,1,4,123,0,7,58716.8571,0,0,2,23,4,0,0,0,0,0,concierge,6,23,0,38.6031746031746,57,6,17,17,0,1,1,0,0,1,1,3,0,0,0,0,5,0,-2,3402.1371,platinum,0,0
38843,2020-08-10 18:53,73,56,0,5.0,11.0,2020.0,-56,251,1,5812,LLC,0,no_policy,WA,1,245,120,5,3,1,Regence,Beam,1,0,1,1,0,0,0,14,14,21,35,0,0,0.0,0,1,Food   Beverage,POS,4,123.0,0,0,1,7,18,1,14,69656.6742,0,0,8,19,1,0,0,0,3,0,core,120,142,0,28.875,18,6,13,11,0,1,1,0,2,3,0,14,0,0,-2,0,-17,1,-3,8778.5517,bronze,0,1
52700,2021-01-22 22:35,60,60,0,0.0,1.0,2021.0,-36,124,1,8244,LLC,1,has_zp_policy,CA,1,1752,1850,3,1,1,Covered California,no_dental_carrier,0,0,0,0,0,0,0,19,1,59,33,0,0,0.21428571428571427,0,33,Education,Desk,33,141.0,0,0,1,9,30,0,17,14358.04,1,0,7,16,13,0,0,1,0,0,core,664,726,0,29.3101265822785,98,60,77,77,0,1,1,0,136,7,1,9,0,0,1,-1,15,0,7,-2532.5811,bronze,0,0
54381,2021-02-18 16:30,39,39,1,5.0,3.0,2021.0,-43,67,1,7372,LLC,0,has_zp_policy,MI,4,195,753,5,2,1,Blue Cross Blue Shield,Guardian,0,0,1,1,0,0,0,12,12,44,33,1,0,0.0,0,4,Technology,Desk,5,365.0,0,0,8,11,30,1,15,152875.32,1,0,5,37,21,0,0,3,1,0,concierge,46,48,0,31.655737704918,94,28,68,54,0,0,4,0,0,2,4,14,122,0,1,1,-19,-2,10,-11318.3416,silver,0,1
39026,2020-07-31 19:07,22,15,0,3.0,8.0,2020.0,-13,94,1,8748,S-Corporation,1,no_policy,CA,1,12,469,3,1,1,Kaiser Permanente,no_dental_carrier,0,0,0,0,0,0,0,1,1,10,,0,0,0.0,0,-2,Professional Services,Desk,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,13,42,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,gold,0,1
38948,2020-08-10 16:23,20,20,1,2.0,10.0,2020.0,-26,191,1,1711,LLC,0,no_policy,OK,1,1562,3473,6,3,1,UnitedHealthcare,Guardian,0,0,1,1,1,0,0,12,10,200,43,0,0,0.0909090909090909,1,40,Construction,Non-Desk,42,183.0,0,0,1,5,47,0,12,145889.0766,0,0,19,35,14,1,0,0,0,0,complete,281,284,0,43.3814432989691,93,4,8,23,0,1,1,0,8,10,2,11,0,0,1,0,41,-3,-1,-5127.3852,silver,0,1
54608,2021-02-19 07:01,64,62,1,5.0,2.0,2021.0,-64,110,1,7389,C-Corporation,0,has_zp_policy,CA,3,32,512,5,2,1,UnitedHealthcare,Guardian,0,0,1,1,0,0,0,5,5,10,27,0,0,0.0,0,0,Technology,Desk,1,185.0,0,0,2,3,20,0,3,104666.64,0,0,0,19,9,0,0,0,9,0,concierge,27,34,0,31.0,6,0,6,0,0,0,2,0,0,0,30,4,4,0,0,0,0,0,0,0.0,silver,0,1
54608,2021-02-19 07:01,64,62,1,5.0,2.0,2021.0,-64,110,1,7389,C-Corporation,0,has_zp_policy,CA,3,32,512,5,2,1,UnitedHealthcare,Guardian,0,0,1,1,0,0,0,5,5,10,,0,0,0.0,0,0,Technology,Desk,0,0.0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,27,34,0,31.0,6,0,6,0,0,0,2,0,0,0,30,4,4,0,0,0,0,0,0,0.0,silver,0,1
54878,2021-02-25 19:23,60,60,0,5.0,2.0,2021.0,-34,110,1,7372,C-Corporation,0,has_zp_policy,NY,5,39,-3,3,2,1,Oxford Health Plan (UnitedHealthcare),Guardian,0,0,1,1,0,0,0,4,4,4,,0,0,0.0,0,-1,Technology,Desk,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,35,72,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,bronze,0,0
49605,2020-12-04 22:01,27,27,1,4.0,12.0,2020.0,-53,261,1,2038,C-Corporation,0,has_zp_policy,CA,1,178,311,2,1,1,Kaiser Permanente,no_dental_carrier,0,0,0,0,0,0,0,2,2,8,28,1,0,0.0,1,5,Wholesale,Non-Desk,5,45.0,0,0,1,0,0,0,1,0.0,0,0,0,4,0,0,0,0,0,0,core,14,18,0,27.0,6,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-240000.0,gold,0,0
43325,2020-10-12 18:53,17,14,1,4.0,10.0,2020.0,-47,102,1,8712,S-Corporation,1,has_zp_policy,CA,1,1597,1911,3,1,1,Kaiser Permanente,no_dental_carrier,0,0,0,0,0,0,0,2,1,113,39,0,0,0.0,0,52,Professional Services,Desk,41,63.0,0,0,1,2,5,1,2,87720.0,1,0,16,29,14,0,0,0,0,0,complete,15,19,1,43.8235294117647,17,0,12,0,0,1,1,0,0,2,8,1,0,0,0,1,-2,0,-3,1829.88,silver,0,0
42079,2020-09-30 19:47,35,35,1,2.0,11.0,2020.0,-45,239,1,8021,LLC,1,eligible_for_renewal,PA,1,113,127,2,1,1,Independence Blue Cross,no_dental_carrier,0,0,0,0,0,1,0,5,4,14,42,0,0,0.0,0,1,Healthcare   Social Assistance,Desk,3,69.0,0,0,1,3,31,0,5,119285.192,0,0,1,6,1,0,0,4,0,0,core,3,18,0,34.7777777777778,7,2,6,3,0,1,1,0,0,0,6,1,3,0,-1,0,21,0,28,10722.907,silver,0,0
52241,2021-01-15 04:49,61,58,1,1.0,2.0,2021.0,-59,153,1,7372,C-Corporation,0,has_zp_policy,CA,1,15,15,3,1,1,Kaiser Permanente,no_dental_carrier,0,0,0,0,0,0,0,1,1,3,,0,0,0.0,0,-1,Technology,Desk,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,33,43,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,silver,0,1
43732,2020-10-15 04:13,44,43,1,3.0,11.0,2020.0,-51,159,1,7231,LLC,0,has_zp_policy,TX,1,340,5374,6,2,1,Blue Cross Blue Shield,Guardian,0,0,1,1,0,0,0,40,32,87,47,0,0,0.0,0,9,Personal Services,POS,10,677.0,0,0,4,32,109,1,44,49593.9068,0,0,1,57,26,0,0,0,0,0,concierge,27,28,0,31.8778625954198,564,222,328,136,0,1,1,0,490,54,58,52,78,0,3,-1,-16,0,1,-766.5392,silver,0,1
44056,2020-10-14 06:01,15,13,1,5.0,10.0,2020.0,-39,149,1,7379,C-Corporation,0,has_zp_policy,CA,3,10,9,3,2,1,Blue Shield of California,Beam,0,0,1,1,0,0,0,3,3,5,,0,0,0.0,0,0,Transportation   Warehousing,Non-Desk,0,0.0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,4,11,0,38.5,2,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0.0,platinum,0,0
48211,2020-11-19 16:10,38,37,1,2.0,11.0,2020.0,-38,498,1,5921,C-Corporation,1,quoting,PA,1,528,10296,1,1,1,Capital Blue Cross,no_dental_carrier,0,0,0,0,0,0,0,8,3,68,34,0,0,-0.2222222222222222,1,16,Retail,POS,16,123.0,0,0,1,1,25,1,7,80330.2933,0,0,0,25,21,0,0,0,0,0,complete,8,21,0,33.8615384615385,39,26,14,27,0,1,1,0,0,3,1,4,0,0,1,1,1,0,6,-1733.3333,silver,0,0
36442,2020-06-14 03:47,28,28,1,1.0,6.0,2020.0,-33,76,1,4812,C-Corporation,0,has_zp_policy,CA,4,149,180,6,3,1,Anthem Blue Cross,Guardian,0,0,1,1,0,0,0,9,9,17,33,0,0,0.0,0,4,Technology,Desk,4,87.0,0,0,2,1,4,0,8,48593.22,1,0,0,3,2,0,0,0,0,0,core,7,13,0,30.8974358974359,78,0,78,0,0,2,1,10,0,0,0,2,0,0,0,0,0,0,0,0.0,silver,0,0
