npa_id,create_date,cycle_time,created_day_of_week,created_month,created_year,days_before_effective_date,orders_last_week,has_run_payroll,sic_code,tax_payer_type,taxable_as_scorp,wc_status,state,count_work_states,days_after_joined_gusto,days_after_est_founding,count_policies,count_carriers,count_medical_carriers,medical_carrier,dental_carrier,contains_long_tail_carrier,has_dental,has_vision,has_lidi,hsa_selected,has_fsa_dca,active_employees,eligible_employees,primary_payroll_admin_age,has_integrations,failed_filing_last_12_month,growth_rate_last_year,had_previous_payroll_provider,months_from_join_date,user_provided_industry,industry_classification,invoice_count,last_month_subscription_revenue,number_of_eins,multi_ein,count_address_changes_last_year,number_of_employees_logging_in_last_month,number_of_employee_logins_last_month,number_of_terminations_last_month,number_of_payroll_employees_last_month,estimated_annual_income_per_employee_last_month,has_active_workers_comp,running_total_number_of_benefits_care_cases,running_total_number_of_payroll_care_cases,running_total_number_of_cases,running_total_number_of_emails,running_total_number_of_irs_notice_reasons,amendments_last_12_month,number_of_admin_failed_logins,number_of_calls_last_month,number_of_chats_last_month,product_plan,time_to_onboard_in_days,time_to_first_payroll_in_days,prev_company_suspension,ee_average_age,count_ee_twenty_six_and_over_in_last_year,count_ee_under_twenty_six_in_last_year,count_single_employees_in_last_year,count_non_single_employees_in_last_year,count_ee_commuter_in_last_year,count_ee_home_states_in_last_year,count_ee_work_states_in_last_year,count_ee_work_home_state_diff_in_last_year,count_ee_more_than_1_job_in_last_year,count_ee_terminations_in_last_year,count_ee_touchpoints_in_last_year,count_ee_hires_in_last_year,count_401k_ees_in_last_year,count_529_ees_in_last_year,change_in_number_of_hires_last_month,change_in_number_of_termination_last_month,change_in_number_of_ee_logins_last_month,change_in_number_of_calls_last_month,change_in_number_of_admin_logins_last_month,change_in_estimated_annual_income_per_employee_last_month,selected_medical_base_tier,start_date_changed,deadline_override
37054,2020-06-30 16:36,181671.38,3.0,7.0,2020.0,-116,100,1,3841,C-Corporation,0,quoting,OH,2,778,799,3,2,1,Anthem Blue Cross,Guardian,0,1,1,0,0,0,12,4,35,1,0,1.0,0,24,Technology,Desk,25,111.0,0,0,2,6,23,0,8,129575.03,0,0,11,18,5,0,0,0,3,0,core,0,10,0,31.1428571428571,75,72,18,15,0,2,2,0,0,3,27,18,135,0,-1,0,-5,2,1,43077.71,silver,0,1
36973,2020-06-27 02:01,45911.91,4.0,1.0,2021.0,-53,175,1,7231,LLC,0,eligible_for_renewal,IL,1,556,541,6,2,1,UnitedHealthcare,Guardian,0,1,1,1,0,0,9,7,35,0,0,2.5,0,10,Personal Services,POS,17,81.0,0,0,1,6,32,1,7,65956.6285,0,0,0,1,1,0,0,6,0,0,core,10,32,0,27.5217391304348,11,12,7,0,0,1,1,0,0,2,0,3,0,0,0,1,13,0,7,-14255.9657,silver,0,0
56084,2021-03-15 18:03,28156.96,4.0,4.0,2021.0,-30,114,1,5199,S-Corporation,1,no_policy,FL,1,20,31,1,1,1,UnitedHealthcare,no_dental_carrier,0,0,0,0,0,0,3,1,,0,0,0.0,0,-1,Wholesale,Non-Desk,0,0.0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,26,28,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,silver,0,0
46592,2020-10-12 15:58,49936.85,2.0,11.0,2020.0,-45,239,1,7372,C-Corporation,0,no_policy,CA,2,299,47,2,1,1,Empire Blue Cross and Blue Shield,no_dental_carrier,0,0,0,0,0,0,1,1,35,0,0,0.0,0,0,Technology,Desk,1,0.0,0,0,1,0,0,0,1,200000.16,0,0,1,5,3,0,0,0,0,1,core,25,265,0,27.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,silver,0,0
48161,2020-11-19 00:34,32714.63,5.0,11.0,2020.0,-42,239,1,6221,LLC,0,has_zp_policy,CO,2,297,324,1,1,1,Anthem Blue Cross,no_dental_carrier,0,0,0,0,0,0,4,4,52,0,0,0.0,0,9,Finance   Insurance,Desk,9,197.0,0,0,1,2,2,0,4,107502.0,1,0,1,10,0,0,0,2,0,0,concierge,2,17,0,40.2285714285714,35,0,8,27,0,2,2,0,0,0,1,1,0,0,0,0,-1,0,-1,0.0,silver,0,0
41514,2020-09-25 18:50,58275.9,4.0,10.0,2020.0,-64,164,1,1711,S-Corporation,1,has_zp_policy,CA,1,1555,2008,3,1,1,Kaiser Permanente,no_dental_carrier,0,0,0,0,0,0,12,12,53,1,0,0.4,0,49,Construction,Non-Desk,50,207.0,0,0,1,2,29,1,14,109271.2,1,0,4,4,0,0,0,0,0,0,complete,1,9,0,35.3524590163934,104,18,34,25,0,1,1,0,0,2,4,3,0,0,0,1,-5,0,3,5861.0872,bronze,0,1
43957,2020-10-17 21:14,41817.15,1.0,10.0,2020.0,-43,149,1,7991,S-Corporation,1,quoting,CA,1,788,810,3,1,1,Kaiser Permanente,no_dental_carrier,0,0,0,0,0,0,6,3,31,0,0,-0.7272727272727273,0,23,Entertainment   Recreation,POS,23,111.0,0,0,1,0,0,0,6,90320.0,0,0,8,19,13,0,0,0,0,0,complete,54,71,0,28.6288659793814,54,43,51,5,0,1,1,0,37,13,16,8,0,0,0,0,-1,0,1,-6220.0,silver,0,0
46867,2020-11-09 14:25,44499.61,5.0,12.0,2020.0,-52,261,1,8111,LLC,0,no_policy,TX,1,390,345,3,1,1,UnitedHealthcare,no_dental_carrier,0,0,0,0,0,0,2,2,35,0,0,0.0,0,10,Professional Services,Desk,11,51.0,0,0,1,3,3,0,2,31731.2666,0,0,1,6,3,0,0,1,0,0,core,39,61,0,22.9090909090909,0,22,14,0,0,1,1,0,0,3,0,2,0,0,1,-1,3,0,12,-29446.4734,silver,0,1
45214,2020-10-27 20:55,72184.03,3.0,11.0,2020.0,-68,498,1,8721,S-Corporation,1,has_zp_policy,FL,1,691,694,4,2,1,UnitedHealthcare,Guardian,0,1,1,1,0,0,3,2,47,1,0,2.0,0,20,Professional Services,Desk,21,0.0,0,0,2,2,4,0,3,152833.2,0,0,0,0,0,0,0,0,0,0,complete,12,42,0,32.4210526315789,10,9,10,4,0,1,1,0,0,1,9,3,19,0,1,0,4,0,14,-27966.64,bronze,0,1
52862,2021-01-26 03:54,117970.81,3.0,1.0,2021.0,-64,156,1,7373,C-Corporation,0,has_zp_policy,NJ,3,1,1,4,2,1,Horizon Blue of New Jersey,Guardian,0,1,1,1,0,0,5,5,,0,0,0.0,0,-1,Technology,Desk,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,0,22,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,platinum,0,1
53082,2021-01-13 07:02,123891.83,1.0,2.0,2021.0,-59,153,1,7372,C-Corporation,0,has_zp_policy,CA,1,21,17,6,3,1,Blue Shield of California,Guardian,0,1,1,2,0,0,4,4,,0,0,0.0,0,-2,Technology,Desk,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,51,56,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,gold,0,1
37607,2020-07-14 19:38,71919.81,3.0,9.0,2020.0,-53,134,1,8721,S-Corporation,1,has_zp_policy,NC,2,1879,2059,7,2,1,UnitedHealthcare,Guardian,0,1,1,1,0,0,5,3,70,1,0,0.5,1,59,Professional Services,Desk,61,0.0,0,0,2,4,61,0,6,74877.6166,1,0,14,17,10,0,0,0,0,0,complete,13,33,0,57.1395348837209,40,3,2,13,0,1,1,0,0,2,66,4,0,0,-1,0,-21,0,-10,-9595.7891,gold,0,1
51018,2020-12-04 15:33,41944.33,3.0,12.0,2020.0,-33,75,1,7389,LLC,0,has_zp_policy,NY,1,30,-5,4,2,1,Oxford Health Plan (UnitedHealthcare),Guardian,0,1,1,0,0,0,2,2,,0,0,0.0,0,-1,Entertainment   Recreation,Desk,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,28,46,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,silver,0,0
47081,2020-07-13 17:49,53612.71,2.0,11.0,2020.0,-45,239,1,7231,S-Corporation,1,has_zp_policy,CA,1,127,127,3,1,1,Anthem Blue Cross,no_dental_carrier,0,0,0,0,0,0,4,4,38,0,0,0.0,0,-1,Personal Services,POS,3,0.0,0,0,1,2,5,0,4,38371.68,1,0,0,8,5,0,0,0,0,0,complete,22,32,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,38371.68,bronze,0,0
46540,2020-11-05 23:04,41540.18,5.0,11.0,2020.0,-42,239,1,7372,C-Corporation,0,no_policy,CA,2,369,373,3,1,1,UnitedHealthcare,no_dental_carrier,0,0,0,0,0,0,2,2,28,1,0,0.0,0,10,Technology,Desk,10,57.0,0,0,0,1,3,0,2,147000.0,0,0,1,3,2,0,0,0,0,0,core,51,57,0,26.4444444444444,18,0,10,0,0,2,1,8,0,0,0,0,0,0,0,0,2,0,0,54000.0,bronze,0,0
44251,2020-10-20 18:55,60683.7,2.0,10.0,2020.0,-66,164,1,1761,LLC,1,no_policy,TX,1,490,486,5,2,1,Blue Cross Blue Shield,Guardian,0,1,1,0,0,0,6,6,57,0,0,0.0,0,15,Construction,Non-Desk,15,67.5,0,0,0,2,2,0,6,166340.3733,0,0,0,1,0,0,0,0,0,0,core,2,10,0,46.1296296296296,45,9,13,16,0,1,1,0,0,0,0,0,6,0,0,0,-8,0,-2,0.0,silver,0,1
36878,2020-06-24 22:15,96559.6,4.0,8.0,2020.0,-56,161,1,8742,C-Corporation,0,has_zp_policy,DE,1,318,344,5,2,1,Blue Shield of California,Guardian,0,1,1,0,0,0,4,4,32,0,0,0.0,0,7,Professional Services,Desk,9,69.0,0,0,2,4,20,0,3,140000.16,0,0,2,7,7,0,0,1,0,0,core,32,39,0,29.8095238095238,16,5,5,0,0,1,1,0,0,0,11,1,0,0,0,0,4,0,2,0.0,silver,0,0
47709,2020-11-16 20:49,66076.6,4.0,11.0,2020.0,-43,239,1,7371,LLC,0,has_zp_policy,FL,1,615,731,5,3,1,Florida Blue,Principal,0,1,1,1,0,0,8,8,35,1,0,3.0,1,20,Technology,Desk,20,87.0,0,0,1,5,20,0,8,121249.98,0,0,6,9,2,0,0,0,1,2,core,0,6,0,29.0925925925926,36,18,37,5,0,1,1,0,0,0,1,3,37,0,-1,0,10,1,3,-1892.8542,gold,0,0
46508,2020-11-05 21:53,43242.43,3.0,11.0,2020.0,-51,159,1,1721,S-Corporation,1,has_zp_policy,CA,1,702,926,3,1,1,Kaiser Permanente,no_dental_carrier,0,0,0,0,0,0,21,6,22,0,0,-0.24137931034482757,1,23,Construction,Non-Desk,23,413.0,0,0,0,2,11,0,22,51734.0909,1,0,3,20,5,0,0,0,0,0,concierge,16,18,0,38.5714285714286,178,18,50,63,0,1,1,0,0,1,2,0,0,0,0,-1,-3,-1,1,14350.8182,silver,0,0
44141,2020-10-19 22:24,57637.58,1.0,11.0,2020.0,-46,239,1,8049,LLC,0,has_zp_policy,KY,3,754,746,7,2,1,UnitedHealthcare,Guardian,0,1,1,0,0,0,18,7,36,1,0,-0.08695652173913043,0,18,Healthcare   Social Assistance,Desk,19,165.0,0,0,2,11,24,1,20,31432.152,1,0,9,13,3,0,0,0,0,0,core,161,163,0,34.6296296296296,171,18,32,57,0,3,2,3,0,5,6,2,0,0,0,1,8,0,-1,152.898,silver,0,1
43508,2020-10-13 18:43,39882.25,2.0,2.0,2021.0,-44,79,1,7389,S-Corporation,1,no_policy,CO,1,937,3100,3,2,1,Anthem Blue Cross,Beam,0,1,1,0,0,0,2,2,45,0,0,0.0,1,26,Personal Services,Non-Desk,30,51.0,0,0,0,1,4,0,2,57000.0,0,0,18,32,6,0,0,0,0,0,core,7,7,0,50.5,18,0,4,4,0,1,1,0,0,0,4,0,0,0,0,0,-6,0,-22,0.0,gold,1,0
55065,2021-03-01 20:51,51617.66,2.0,3.0,2021.0,-53,97,1,8049,S-Corporation,1,has_zp_policy,MD,1,901,1666,5,2,1,CareFirst,Guardian,0,1,1,0,0,0,9,5,43,1,0,0.0,0,27,Healthcare   Social Assistance,Desk,21,151.0,0,0,1,8,114,0,8,68632.4275,1,0,13,27,24,0,0,0,0,2,complete,49,76,1,38.5,60,2,25,37,0,1,1,0,0,2,39,2,55,0,0,0,-12,0,-22,-12732.4925,gold,0,0
37460,2020-07-10 03:26,50160.5,5.0,7.0,2020.0,-46,87,1,8299,S-Corporation,1,no_policy,TX,2,1083,1081,7,2,1,Blue Cross Blue Shield,Guardian,0,1,1,1,0,0,7,7,35,0,0,0.6666666666666666,0,35,Education,Desk,35,69.0,0,0,1,2,2,0,5,67999.968,0,0,5,13,8,0,0,0,4,0,complete,23,32,0,33.468085106383,47,0,6,14,0,1,1,0,0,2,0,4,0,0,0,0,0,4,5,-67999.968,gold,0,0
41959,2020-09-09 15:51,51465.85,3.0,9.0,2020.0,-32,90,1,5149,C-Corporation,0,has_zp_policy,NY,2,631,607,3,2,1,UnitedHealthcare,Guardian,0,1,1,0,0,0,2,2,43,1,0,-0.3333333333333333,0,19,Manufacturing,Non-Desk,19,51.0,0,0,0,1,0,0,2,243999.84,1,0,2,22,7,0,0,0,0,0,core,0,38,0,39.2222222222222,18,0,5,1,0,1,1,9,0,0,6,0,0,0,0,0,-1,0,-13,0.0,gold,0,0
53556,2021-02-04 19:47,46918.0,4.0,2.0,2021.0,-42,79,1,8011,C-Corporation,0,has_zp_policy,CA,1,108,66,6,2,1,California Choice,Guardian,0,1,1,1,0,0,3,3,,0,0,0.0,0,0,Healthcare   Social Assistance,Desk,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,91,116,0,39.3333333333333,3,0,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0.0,silver,0,0
42235,2020-10-01 14:43,41711.61,4.0,10.0,2020.0,-54,191,1,8322,LLC,1,has_zp_policy,TX,1,346,344,7,2,1,Blue Cross Blue Shield,Beam,0,1,1,1,0,0,8,2,40,1,0,0.0,0,9,Healthcare   Social Assistance,Desk,9,69.0,0,0,2,2,1,0,5,37831.248,0,0,1,4,0,0,0,0,0,0,core,73,79,0,40.4615384615385,26,0,21,0,0,1,1,0,0,0,1,3,16,0,-1,0,-3,0,-2,3616.368,gold,0,0
45656,2020-08-28 16:49,33515.23,5.0,10.0,2020.0,-32,164,1,8111,LLC,0,has_zp_policy,MI,1,311,907,4,2,1,UnitedHealthcare,Guardian,0,1,1,1,0,0,3,3,33,1,0,0.0,0,6,Professional Services,Desk,8,51.0,0,0,1,1,4,0,2,214599.84,1,0,0,4,0,0,0,0,0,0,core,50,59,0,28.6,24,6,6,4,0,1,1,0,0,2,0,2,12,0,0,0,-2,0,-2,2600.0,silver,0,1
46423,2020-11-05 15:59,60055.36,4.0,11.0,2020.0,-43,239,1,5013,LLC,0,no_policy,MD,1,654,8862,8,3,1,CareFirst,Guardian,0,1,1,3,0,0,19,16,32,0,0,0.2857142857142857,1,20,Manufacturing,Non-Desk,20,147.0,0,0,2,7,18,0,18,84465.8388,0,0,1,3,1,0,0,0,0,0,core,12,25,0,44.7152777777778,124,20,67,47,0,2,1,6,0,6,1,13,0,0,1,0,-3,0,-4,-2811.3425,platinum,0,0
40276,2020-09-03 09:51,65867.55,4.0,9.0,2020.0,-59,102,1,8331,LLC,0,eligible_for_renewal,TX,1,594,1937,6,2,1,Blue Cross Blue Shield,Guardian,0,1,0,1,0,0,15,3,,0,0,0.0,0,0,Healthcare   Social Assistance,Desk,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,593,595,0,29.25,8,8,10,6,0,1,1,0,13,0,2,6,0,0,0,0,0,0,0,0.0,silver,0,0
39419,2020-07-24 15:42,24636.5,1.0,8.0,2020.0,-8,135,1,8351,C-Corporation,0,no_policy,MA,1,139,875,2,2,1,Oxford Health Plan (UnitedHealthcare),no_dental_carrier,0,0,1,0,1,0,3,3,28,0,0,0.0,0,3,Healthcare   Social Assistance,Desk,4,155.55,0,0,0,1,0,0,1,366080.0,0,0,1,5,1,0,0,22,1,1,complete,108,20,0,27.0,12,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-14,366080.0,silver,0,1
45745,2020-10-30 18:16,95167.73,1.0,11.0,2020.0,-60,251,1,7382,S-Corporation,1,external_policy,UT,2,2155,4087,5,2,1,SelectHealth,Guardian,0,1,1,0,0,0,11,6,42,0,0,0.0,1,69,Personal Services,POS,70,135.0,0,0,0,4,13,1,12,62977.2866,0,0,6,55,51,0,0,1,0,0,core,17,34,0,38.712962962963,106,2,17,36,0,2,2,0,0,1,4,0,0,0,0,1,3,0,2,3689.465,bronze,0,0
45090,2020-09-24 06:04,72826.48,2.0,12.0,2020.0,-55,261,1,8742,C-Corporation,0,eligible_for_renewal,CA,1,77,68,4,2,1,Cigna + Oscar,Guardian,0,1,0,0,0,0,8,2,38,1,0,0.0,0,-1,Technology,Desk,2,81.0,0,0,0,1,1,0,7,0.0,0,0,0,1,1,0,0,21,0,0,core,13,23,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,22,-1200.0,silver,1,0
53557,2021-01-27 18:54,40211.93,6.0,2.0,2021.0,-54,153,1,7371,S-Corporation,1,has_zp_policy,CA,1,11,36,4,2,1,Anthem Blue Cross,Guardian,0,1,0,0,0,0,2,2,34,0,0,0.0,0,0,Technology,Desk,1,0.0,0,0,1,2,5,0,2,58475.56,0,0,0,1,1,0,0,0,0,0,complete,1,3,0,32.0,2,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0.0,gold,0,0
56359,2021-03-09 19:30,50061.5,5.0,3.0,2021.0,-36,133,1,6514,LLC,0,has_zp_policy,CA,1,23,4,3,2,1,Blue Shield of California,Guardian,0,1,1,0,0,0,2,2,,0,0,0.0,0,-1,Construction,Non-Desk,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,6,30,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,platinum,0,0
39471,2020-08-19 20:00,70236.56,4.0,8.0,2020.0,-42,94,1,8742,LLC,0,switch_bor,MD,2,24,38,3,2,1,UnitedHealthcare,Guardian,0,1,1,0,0,0,2,2,,0,0,0.0,0,0,Professional Services,Desk,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,unknown_product_plan,2,11,0,32.5,2,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,silver,0,0
39035,2020-08-11 23:12,87990.53,3.0,11.0,2020.0,-58,251,1,7379,LLC,0,no_policy,CA,8,141,135,6,2,1,UnitedHealthcare,Principal,0,1,1,0,0,0,7,7,45,0,0,0.0,0,2,Technology,Desk,5,99.0,0,0,1,4,16,0,5,183230.304,0,0,0,3,3,0,0,2,0,0,complete,1,14,0,48.0,5,0,4,1,0,1,3,0,0,0,0,3,0,0,0,0,6,0,0,-54103.136,silver,0,1
48334,2020-11-19 22:32,41820.71,1.0,11.0,2020.0,-39,498,1,8299,C-Corporation,0,has_zp_policy,CA,40,1166,1631,6,2,1,UnitedHealthcare,Guardian,0,1,1,0,0,0,88,3,51,0,0,0.3188405797101449,1,37,Education,Desk,37,585.0,0,0,55,21,46,2,89,15240.7296,1,0,86,129,106,0,0,4,0,1,core,14,21,0,36.7483953786906,1464,94,270,812,0,37,36,52,0,60,12,104,0,0,0,-2,1,0,-3,-421.7484,gold,0,0
